TRENTO BEBIDAS ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
LISTA MAYORISTA,,PRECIO $
, ,
PRODUCTOS ,,
,,
VODKA ,,
,,
SKYY 750ML,," $ 7.990,00 "
SKYY APRICOT 750ML,," $ 9.180,00 "
SKYY COSMIC 750ML,," $ 13.500,00 "
SKYY PASION FRUIT 750ML,," $ 9.180,00 "
SKYY PINEAPPLE 750ML,," $ 9.180,00 "
SKYY RASPBERRY 750ML,," $ 9.180,00 "
SKYY BLOND ORANGE 750ML,," $ 9.180,00 "
SMIRNOFF VODKA 750ML,," $ 6.550,00 "
SMIRNOFF RASPBERRY 750ML,," $ 7.250,00 "
SMIRNOFF GREEN APPLE 750ML,," $ 7.250,00 "
SMIRNOFF WATERMELON 750 ML,," $ 7.250,00 "
SMIRNOFF CITRIC 750ML,," $ 7.250,00 "
ABSOLUT 750 ML,," $ 17.200,00 "
ABSOLUT APEACH 750 ML,," $ 18.800,00 "
ABSOLUT APPLE 750 ML,," $ 18.800,00 "
ABSOLUT CITRON 750 ML,," $ 18.800,00 "
ABSOLUT GRAPEFRUIT 750 ML,," $ 18.800,00 "
ABSOLUT LIME 750 ML,," $ 18.800,00 "
ABSOLUT MANDRIN 750 ML,," $ 18.800,00 "
ABSOLUT MANGO 750 ML,," $ 18.800,00 "
ABSOLUT PEARS 750 ML,," $ 18.800,00 "
ABSOLUT RASPBERRI 750 ML,," $ 18.800,00 "
ABSOLUT RUBY RED 750 ML,," $ 18.800,00 "
ABSOLUT VANILIA 750 ML,," $ 18.800,00 "
ABSOLUT WILDBERRIES 750 ML,," $ 18.800,00 "
PRAVDA VODKA 750ML,," $ 52.500,00 "
"PRAVDA VODKA 1,75 L",," $ 128.000,00 "
PRAVDA RASPBERRI 750ML,," $ 55.200,00 "
PRAVDA COCONUT 750ML,," $ 55.200,00 "
PRAVDA ESPRESSO CAFE 750ML,," $ 55.200,00 "
CIROC VODKA 750ML,," $ 60.000,00 "
CIROC REDBERRY 750ML,," $ 67.200,00 "
CIROC PEACH 750ML,," $ 67.200,00 "
CIROC PINEAPPLE 750ML,," $ 67.200,00 "
BELVEDERE VODKA 750ML,," $ 65.000,00 "
BELVEDERE LUMINOUS 750ML,," $ 75.000,00 "
BELVEDERE CHROME LUMINOUS 750 ML,," $ 115.000,00 "
"BELVEDERE VODKA 1,75 L",," $ 200.000,00 "
BELVEDERE ARANDANOS 750ML,," $ 85.000,00 "
BELVEDERE PEARS 750ML,," $ 85.000,00 "
BELVEDERE CITRUS 750 ML,," $ 85.000,00 "
GREY GOOSE 1 LT,," $ 78.000,00 "
GREY GOOSE CITRON 1 LT,," $ 85.000,00 "
GREY GOOSE VAINILLA 1 LT,," $ 85.000,00 "
GREY GOOSE ORANGE 1 LT,," $ 85.000,00 "
GREY GOOSE PEARS 1 LT,," $ 85.000,00 "
GREY GOOSE MELON1 LT,," $ 90.000,00 "
GREY GOOSE WATERMELON 1 LT,," $ 85.000,00 "
GREY GOOSE STRAWBERRY 1 LT,," $ 85.000,00 "
GREY GOOSE APEACH 1 LT,," $ 85.000,00 "
,,
APERITIVOS,,
CAMPARI 750 ML,," $ 8.520,00 "
APEROL 750ML,," $ 8.470,00 "
CYNAR 750ML,," $ 6.360,00 "
CYNAR 70 750 ML ,,
GANCIA 950 ML,," $ 6.150,00 "
FERNET BRANCA 750 ML,," $ 14.500,00 "
FERNET BRANCA 1L,," $ 18.600,00 "
MARTINI BIANCO 1L,,
MARTINI DRY 1L,,
MARTINI ROSSO 1L,,
CINZANO ROSSO 1L,,
VELHO BARREIRO 910ML,," $ 6.850,00 "
,,
LICORES ,,
AMARULA 750 ML,," $ 28.900,00 "
BAILEYS 750 ML,," $ 25.560,00 "
SHERIDANS 700ML,," $ 37.500,00 "
TIA MARIA 690ML,,
TIA MARIA CREAM 690ML,, $ -   
JAGERMEIFTER 750 ML,," $ 24.800,00 "
JAGERMEIFTER 1.75L,, $ -   
HODLMOSER 70ML,," $ 20.650,00 "
,,
GIN,,
BRIGHTON 700 ML,," $ 7.900,00 "
GORDONS 700 ML,," $ 11.550,00 "
GORDONS PINK 700 ML,," $ 13.100,00 "
GIN HEREDERO DRY 750 ML ,," $ 10.600,00 "
